"Section","Module","No","Title","Target","Mins","Beats","MinPerBeat","Preview","Beat sheet","Scripted","Code ready","Recorded","Edited","Published"
"Beginner","Module 4 · Semantic HTML and Tables","16","Sections, Articles and Asides","9m","9","4","2.3","","section | article | aside | Choosing the right element","","","","",""
"Beginner","Module 4 · Semantic HTML and Tables","17","Building Your First Table","11m","11","4","2.8","","table | Rows and cells | Header cells | thead and tbody","","","","",""
"Beginner","Module 4 · Semantic HTML and Tables","18","Captions, Spanning and Table Practice","11m","11","5","2.2","","caption | colspan | rowspan | Data versus layout | Timetable exercise","","","","",""
"Beginner","Module 5 · HTML Forms","19","Form Structure, Labels and Text Inputs","12m","12","5","2.4","","The form element | action and method | Labels | Text inputs | Connecting labels to inputs","","","","",""
"Beginner","Module 5 · HTML Forms","20","Radio Buttons, Checkboxes and Select","12m","12","4","3.0","","Radio groups | Checkboxes | select and option | Default values","","","","",""
"Beginner","Module 5 · HTML Forms","21","Textareas, Buttons and Grouping Fields","11m","11","4","2.8","","textarea | Submit and reset buttons | fieldset | legend","","","","",""
"Beginner","Module 5 · HTML Forms","22","Built-in Form Validation","12m","12","5","2.4","","required | min and max | minlength and maxlength | Input types | Native error messages","","","","",""
"Beginner","Module 5 · HTML Forms","23","Practice: Build a Registration Form","9m","9","4","2.3","","Planning the fields | Writing the markup | Adding validation | Checking accessibility","","","","",""
"Beginner","Module 6 · CSS Fundamentals","24","Introduction to CSS and How to Attach It","11m","11","5","2.2","","What CSS does | Inline CSS | Internal CSS | External CSS | Which one to use","","","","",""
"Beginner","Module 6 · CSS Fundamentals","25","Syntax, Selectors and Grouping","11m","11","5","2.2","","Anatomy of a rule | Properties and values | Element selectors | Grouping selectors | CSS comments","","","","",""
"Beginner","Module 6 · CSS Fundamentals","26","Classes, IDs and When to Use Each","9m","9","4","2.3","","The class selector | The ID selector | Reusability | Naming sensibly","","","","",""
"Beginner","Module 6 · CSS Fundamentals","27","Colours: Names, Hex and RGB","10m","10","4","2.5","","Colour keywords | Hex notation | rgb and rgba | Choosing readable colours","","","","",""
"Beginner","Module 6 · CSS Fundamentals","28","Backgrounds and Gradients","9m","9","4","2.3","","background-color | background-image | Position and repeat | Linear gradients","","","","",""
"Beginner","Module 6 · CSS Fundamentals","29","CSS Typography","12m","12","6","2.0","","font-family | font-size | font-weight | line-height | text-align | letter-spacing","","","","",""
"Beginner","Module 7 · Box Model, Display and Debugging","30","The Box Model Explained","12m","12","5","2.4","","Content | Padding | Border | Margin | box-sizing","","","","",""
"Beginner","Module 7 · Box Model, Display and Debugging","31","Margin, Padding, Borders and Radius","12m","12","5","2.4","","Individual sides | Shorthand properties | border-radius | outline | Centring with margin auto","","","","",""
"Beginner","Module 7 · Box Model, Display and Debugging","32","Width, Height and Content Sizing","10m","10","4","2.5","","width | height | Percentage sizing | Content-driven sizing","","","","",""
"Beginner","Module 7 · Box Model, Display and Debugging","33","Minimum and Maximum Dimensions, Overflow","12m","12","5","2.4","","min-width | max-width | min-height | overflow | Scrollbars","","","","",""
"Beginner","Module 7 · Box Model, Display and Debugging","34","Display, Visibility and Debugging Your CSS","12m","12","5","2.4","","block and inline | inline-block | display none versus visibility | opacity | Finding why a style isn't applying","","","","",""
"Beginner","Guided Project · Personal Portfolio Website","35","Reviewing the final design","10m","10","0","","","","","","","",""
"Beginner","Guided Project · Personal Portfolio Website","36","Project setup: folders, files and reset","10m","10","0","","","","","","","",""
"Beginner","Guided Project · Personal Portfolio Website","37","Page skeleton and semantic landmarks","12m","12","0","","","","","","","",""
"Beginner","Guided Project · Personal Portfolio Website","38","Header and navigation markup","12m","12","0","","","","","","","",""
"Beginner","Guided Project · Personal Portfolio Website","39","Hero and about markup","12m","12","0","","","","","","","",""
"Beginner","Guided Project · Personal Portfolio Website","40","Skills, projects and education markup","12m","12","0","","","","","","","",""
"Beginner","Guided Project · Personal Portfolio Website","41","Contact form and footer markup","12m","12","0","","","","","","","",""
"Beginner","Guided Project · Personal Portfolio Website","42","Global styles, variables and typography","14m","14","0","","","","","","","",""
"Beginner","Guided Project · Personal Portfolio Website","43","Styling the header","12m","12","0","","","","","","","",""
"Beginner","Guided Project · Personal Portfolio Website","44","Styling the navigation","12m","12","0","","","","","","","",""
"Beginner","Guided Project · Personal Portfolio Website","45","Styling the hero","14m","14","0","","","","","","","",""
"Beginner","Guided Project · Personal Portfolio Website","46","Styling the about and skills sections","14m","14","0","","","","","","","",""
"Beginner","Guided Project · Personal Portfolio Website","47","Styling the project cards","14m","14","0","","","","","","","",""
"Beginner","Guided Project · Personal Portfolio Website","48","Styling the education timeline","14m","14","0","","","","","","","",""
"Beginner","Guided Project · Personal Portfolio Website","49","Styling the contact form and footer","16m","16","0","","","","","","","",""
"Beginner","Guided Project · Personal Portfolio Website","50","Mobile layout adjustments","12m","12","0","","","","","","","",""
"Beginner","Guided Project · Personal Portfolio Website","51","Tablet layout adjustments","10m","10","0","","","","","","","",""
"Beginner","Guided Project · Personal Portfolio Website","52","Building the mobile navigation","8m","8","0","","","","","","","",""
"Beginner","Guided Project · Personal Portfolio Website","53","Fixing layout and spacing issues","12m","12","0","","","","","","","",""
"Beginner","Guided Project · Personal Portfolio Website","54","Validating your HTML and CSS","8m","8","0","","","","","","","",""
"Beginner","Guided Project · Personal Portfolio Website","55","Publishing to GitHub Pages","12m","12","0","","","","","","","",""
"Beginner","Guided Project · Personal Portfolio Website","56","Explaining your project in an interview","8m","8","0","","","","","","","",""
"Intermediate","Module 1 · Responsive Foundations","1","What Is Responsive Design?","12m","12","4","3.0","FREE","Fixed layouts | Fluid layouts | Responsive layouts | Mobile, tablet and desktop","","","","",""
"Intermediate","Module 1 · Responsive Foundations","2","CSS Units: px, %, em and rem","13m","13","5","2.6","FREE","Pixels | Percentages | em | rem | Choosing a base size","","","","",""
"Intermediate","Module 1 · Responsive Foundations","3","Viewport Units and ch","9m","9","4","2.3","","vw and vh | svh and dvh | ch | When each one fits","","","","",""
"Intermediate","Module 1 · Responsive Foundations","4","Media Queries","14m","14","5","2.8","","Media query syntax | min-width | max-width | Choosing breakpoints | Mobile-first order","","","","",""
"Intermediate","Module 1 · Responsive Foundations","5","Responsive Typography and Spacing","10m","10","4","2.5","","Responsive font sizes | Fluid spacing | Maximum content width | Readable line length","","","","",""
"Intermediate","Module 2 · CSS Flexbox","6","Introduction to Flexbox","13m","13","4","3.3","FREE","Flex container | Flex items | Main axis | Cross axis","","","","",""
"Intermediate","Module 2 · CSS Flexbox","7","Flex Direction and Wrapping","12m","12","4","3.0","","row and column | Reverse directions | flex-wrap | gap","","","","",""
"Intermediate","Module 2 · CSS Flexbox","8","Justify Content and Align Items","13m","13","4","3.3","","justify-content | align-items | Centring | Distributing space","","","","",""
"Intermediate","Module 2 · CSS Flexbox","9","Align Content and Align Self","10m","10","4","2.5","","Multi-line alignment | align-content | align-self | Overriding a single item","","","","",""
"Intermediate","Module 2 · CSS Flexbox","10","Flex Grow, Shrink and Basis","14m","14","4","3.5","","flex-grow | flex-shrink | flex-basis | The flex shorthand","","","","",""
"Intermediate","Module 2 · CSS Flexbox","11","Practice: Navigation and Flexible Sidebars","10m","10","3","3.3","","A responsive nav bar | A sidebar layout | Equal-width cards","","","","",""
"Intermediate","Module 3 · CSS Grid","12","Introduction to CSS Grid","13m","13","4","3.3","FREE","Grid container | Rows and columns | gap | Implicit tracks","","","","",""
"Intermediate","Module 3 · CSS Grid","13","Fractional Units and Repeat","12m","12","3","4.0","","The fr unit | repeat() | Mixing units","","","","",""
"Intermediate","Module 3 · CSS Grid","14","minmax, auto-fit and auto-fill","13m","13","4","3.3","","minmax() | auto-fit | auto-fill | Responsive cards without media queries","","","","",""
"Intermediate","Module 3 · CSS Grid","15","Grid Placement and Spanning","12m","12","4","3.0","","column-start and column-end | Row placement | span | Featured cards","","","","",""
"Intermediate","Module 3 · CSS Grid","16","Grid Template Areas","12m","12","3","4.0","","Named areas | Page layouts | Header, sidebar, main and footer","","","","",""
"Intermediate","Module 3 · CSS Grid","17","Practice: A Responsive Gallery","10m","10","3","3.3","","Planning the grid | Building it | Testing at every breakpoint","","","","",""
"Intermediate","Module 4 · Components and Variables","18","Building Reusable Components","13m","13","5","2.6","","Buttons | Cards | Badges | Containers | Section titles","","","","",""
"Intermediate","Module 4 · Components and Variables","19","Pseudo-Classes for State","13m","13","6","2.2","","hover | focus | focus-visible | active | checked | disabled","","","","",""
"Intermediate","Module 4 · Components and Variables","20","Pseudo-Elements","12m","12","5","2.4","","before | after | Decorative elements | Overlays | Icons","","","","",""
"Intermediate","Module 4 · Components and Variables","21","CSS Variables","13m","13","5","2.6","","Declaring variables | Colours | Spacing | Font sizes | Shadows and radius","","","","",""
"Intermediate","Module 4 · Components and Variables","22","Theming With Variables","10m","10","3","3.3","","Component-level variables | Fallback values | A light and dark pass","","","","",""
"Intermediate","Module 4 · Components and Variables","23","Practice: A Component Set You Reuse","9m","9","3","3.0","","Spotting repeated patterns | Naming them | Documenting the set","","","","",""
"Intermediate","Module 5 · Forms, Images and CSS Functions","24","Professional Form Layouts","14m","14","5","2.8","","Two-column forms | Input groups | Help text | Error states | Focus states","","","","",""
"Intermediate","Module 5 · Forms, Images and CSS Functions","25","Responsive Images","13m","13","5","2.6","","max-width | aspect-ratio | object-fit | The picture element | srcset basics","","","","",""
"Intermediate","Module 5 · Forms, Images and CSS Functions","26","Gradients and Shadows","12m","12","5","2.4","","Linear gradients | Radial gradients | box-shadow | text-shadow | Layering backgrounds","","","","",""
"Intermediate","Module 5 · Forms, Images and CSS Functions","27","calc(), min() and max()","12m","12","4","3.0","","calc() | min() | max() | Practical sizing problems","","","","",""
"Intermediate","Module 5 · Forms, Images and CSS Functions","28","clamp() for Fluid Design","11m","11","4","2.8","","clamp() | Fluid type | Fluid spacing | Setting sensible guard rails","","","","",""
"Intermediate","Module 5 · Forms, Images and CSS Functions","29","Practice: Recreate a Section From a Screenshot","10m","10","3","3.3","","Measuring the design | Choosing units | Matching the spacing","","","","",""
"Intermediate","Module 6 · Debugging, Git and Deployment","30","Browser Developer Tools","13m","13","5","2.6","","Inspecting elements | Editing CSS live | The box-model panel | Flexbox overlay | Grid overlay","","","","",""
"Intermediate","Module 6 · Debugging, Git and Deployment","31","Debugging Horizontal Scroll and Overflow","12m","12","3","4.0","","Finding the offending element | Common causes | Reliable fixes","","","","",""
"Intermediate","Module 6 · Debugging, Git and Deployment","32","Debugging Alignment and Unequal Cards","12m","12","3","4.0","","Flex and grid alignment | Equal heights | Baseline problems","","","","",""
"Intermediate","Module 6 · Debugging, Git and Deployment","33","Specificity Problems and How to Avoid Them","9m","9","3","3.0","","Calculating specificity | Avoiding !important | Flattening selectors","","","","",""
"Intermediate","Module 6 · Debugging, Git and Deployment","34","Git and GitHub Basics","13m","13","5","2.6","","Repository | Commit | Push | README | Project history","","","","",""
"Intermediate","Module 6 · Debugging, Git and Deployment","35","Publishing With GitHub Pages","10m","10","4","2.5","","Static hosting | Enabling Pages | Relative paths | Your live link","","","","",""
"Intermediate","Module 6 · Debugging, Git and Deployment","36","Deployment Troubleshooting","7m","7","4","1.8","","404 errors | Broken paths | Missing assets | Caching","","","","",""
"Intermediate","Guided Project · Responsive Restaurant Website","37","Understanding the restaurant design","10m","10","0","","","","","","","",""
"Intermediate","Guided Project · Responsive Restaurant Website","38","Project setup and asset review","8m","8","0","","","","","","","",""
"Intermediate","Guided Project · Responsive Restaurant Website","39","Semantic structure: header to footer","12m","12","0","","","","","","","",""
"Intermediate","Guided Project · Responsive Restaurant Website","40","Semantic structure: menu and gallery","12m","12","0","","","","","","","",""
"Intermediate","Guided Project · Responsive Restaurant Website","41","Semantic structure: forms and contact","12m","12","0","","","","","","","",""
"Intermediate","Guided Project · Responsive Restaurant Website","42","Global styles and design variables","11m","11","0","","","","","","","",""
"Intermediate","Guided Project · Responsive Restaurant Website","43","Typography and spacing scale","10m","10","0","","","","","","","",""
"Intermediate","Guided Project · Responsive Restaurant Website","44","Building the header","11m","11","0","","","","","","","",""
"Intermediate","Guided Project · Responsive Restaurant Website","45","Responsive navigation","11m","11","0","","","","","","","",""
"Intermediate","Guided Project · Responsive Restaurant Website","46","Hero section","10m","10","0","","","","","","","",""
"Intermediate","Guided Project · Responsive Restaurant Website","47","About and statistics section","12m","12","0","","","","","","","",""
"Intermediate","Guided Project · Responsive Restaurant Website","48","Featured dish cards","13m","13","0","","","","","","","",""
"Intermediate","Guided Project · Responsive Restaurant Website","49","Restaurant menu layout","13m","13","0","","","","","","","",""
"Intermediate","Guided Project · Responsive Restaurant Website","50","Menu responsive behaviour","12m","12","0","","","","","","","",""
"Intermediate","Guided Project · Responsive Restaurant Website","51","Offers and promotion section","15m","15","0","","","","","","","",""
"Intermediate","Guided Project · Responsive Restaurant Website","52","Testimonial section","14m","14","0","","","","","","","",""
"Intermediate","Guided Project · Responsive Restaurant Website","53","Responsive image gallery","14m","14","0","","","","","","","",""
"Intermediate","Guided Project · Responsive Restaurant Website","54","Reservation form","12m","12","0","","","","","","","",""
"Intermediate","Guided Project · Responsive Restaurant Website","55","Contact section","10m","10","0","","","","","","","",""
"Intermediate","Guided Project · Responsive Restaurant Website","56","Footer","10m","10","0","","","","","","","",""
"Intermediate","Guided Project · Responsive Restaurant Website","57","Mobile breakpoint pass","17m","17","0","","","","","","","",""
"Intermediate","Guided Project · Responsive Restaurant Website","58","Tablet breakpoint pass","15m","15","0","","","","","","","",""
"Intermediate","Guided Project · Responsive Restaurant Website","59","Debugging layout and overflow issues","11m","11","0","","","","","","","",""
"Intermediate","Guided Project · Responsive Restaurant Website","60","Validation and accessibility check","10m","10","0","","","","","","","",""
"Intermediate","Guided Project · Responsive Restaurant Website","61","Deployment and final review","15m","15","0","","","","","","","",""
"Advanced","Module 1 · CSS Architecture","1","Problems in Large CSS Projects","13m","13","5","2.6","FREE","Duplicate CSS | Naming problems | Specificity conflicts | Unused styles | The cost of poor maintenance","","","","",""
"Advanced","Module 1 · CSS Architecture","2","BEM Naming Convention","14m","14","4","3.5","FREE","Block | Element | Modifier | Naming components consistently","","","","",""
"Advanced","Module 1 · CSS Architecture","3","Refactoring Existing CSS to BEM","12m","12","3","4.0","","Auditing what you have | Renaming safely | Removing duplication","","","","",""
"Advanced","Module 1 · CSS Architecture","4","Organising CSS Files","13m","13","6","2.2","","Reset | Base | Layout | Components | Utilities | Page styles","","","","",""
"Advanced","Module 1 · CSS Architecture","5","Cascade Layers","13m","13","4","3.3","","Declaring layers | Layer order | Avoiding !important | Predictable overrides","","","","",""
"Advanced","Module 1 · CSS Architecture","6","Practice: Restructure a Messy Stylesheet","11m","11","3","3.7","","Reading unfamiliar CSS | Planning the refactor | Verifying nothing broke","","","","",""
"Advanced","Module 2 · Modern Responsive CSS","7","Advanced CSS Variables","12m","12","3","4.0","","Global versus component scope | Fallback values | Computed values","","","","",""
"Advanced","Module 2 · Modern Responsive CSS","8","Theme Variables and Dark Mode","12m","12","4","3.0","","Theme tokens | prefers-color-scheme | Toggling themes | Contrast in both themes","","","","",""
"Advanced","Module 2 · Modern Responsive CSS","9","Logical Properties","13m","13","4","3.3","","Inline and block directions | Logical margins | Logical padding | Logical borders","","","","",""
"Advanced","Module 2 · Modern Responsive CSS","10","Container Queries","14m","14","3","4.7","FREE","container-type | The @container rule | Component-based responsiveness","","","","",""
"Advanced","Module 2 · Modern Responsive CSS","11","Building a Container-Query Card","11m","11","3","3.7","","Establishing the container | Component breakpoints | Testing in context","","","","",""
"Advanced","Module 2 · Modern Responsive CSS","12","Intrinsic Layouts","12m","12","4","3.0","","min-content | max-content | fit-content | Content-driven sizing","","","","",""
"Advanced","Module 2 · Modern Responsive CSS","13","Practice: A Component That Works Anywhere","8m","8","2","4.0","","Dropping it into three contexts | Fixing what breaks","","","","",""
"Advanced","Module 3 · Advanced Grid and Positioning","14","Explicit and Implicit Grids","13m","13","4","3.3","","Explicit tracks | Implicit tracks | grid-auto-flow | Dense packing","","","","",""
"Advanced","Module 3 · Advanced Grid and Positioning","15","Magazine and Dashboard Layouts","14m","14","3","4.7","","Asymmetric grids | Spanning items | Featured content","","","","",""
"Advanced","Module 3 · Advanced Grid and Positioning","16","Subgrid and Nested Grid","13m","13","4","3.3","","subgrid | Aligning nested content | Shared tracks | Equal card layouts","","","","",""
"Advanced","Module 3 · Advanced Grid and Positioning","17","CSS Positioning","13m","13","5","2.6","","relative | absolute | fixed | sticky | Containing blocks","","","","",""
"Advanced","Module 3 · Advanced Grid and Positioning","18","What Breaks Fixed and Sticky","11m","11","4","2.8","","transform | filter | overflow | Debugging the cause","","","","",""
"Advanced","Module 3 · Advanced Grid and Positioning","19","Z-Index and Stacking Contexts","12m","12","4","3.0","","Stacking order | What creates a context | Overlay problems | Modal layering","","","","",""
"Advanced","Module 3 · Advanced Grid and Positioning","20","Practice: A Sticky Sidebar and a Modal","8m","8","2","4.0","","Building both | Testing the layering","","","","",""
"Advanced","Module 4 · Animation and Interaction","21","CSS Transitions","12m","12","4","3.0","","transition-property | Duration | Timing functions | Delay","","","","",""
"Advanced","Module 4 · Animation and Interaction","22","What Is Cheap to Animate","11m","11","3","3.7","","Compositor-friendly properties | Layout thrashing | will-change","","","","",""
"Advanced","Module 4 · Animation and Interaction","23","CSS Transforms","12m","12","5","2.4","","translate | scale | rotate | skew | transform-origin","","","","",""
"Advanced","Module 4 · Animation and Interaction","24","Keyframe Animations","13m","13","5","2.6","","@keyframes | Duration | Iteration | Direction | Fill mode","","","","",""
"Advanced","Module 4 · Animation and Interaction","25","Accessible Motion","12m","12","4","3.0","","prefers-reduced-motion | Safe animation | Avoiding distraction | Alternative states","","","","",""
"Advanced","Module 4 · Animation and Interaction","26","Practice: An Accessible Animated Component","10m","10","3","3.3","","Building it | Adding the reduced-motion path | Testing both","","","","",""
"Advanced","Module 5 · Accessibility and Performance","27","Keyboard Navigation","13m","13","4","3.3","","Tab order | Focus order | Skip links | Genuinely interactive elements","","","","",""
"Advanced","Module 5 · Accessibility and Performance","28","Focus Indicators and Focus Management","12m","12","4","3.0","",":focus-visible | Custom indicators | Focus trapping | Returning focus","","","","",""
"Advanced","Module 5 · Accessibility and Performance","29","Colour Contrast and Readability","12m","12","4","3.0","","Text contrast ratios | Buttons | Error colours | Link visibility","","","","",""
"Advanced","Module 5 · Accessibility and Performance","30","Accessible Names and ARIA Basics","13m","13","4","3.3","","Labels | aria-label | aria-describedby | When not to reach for ARIA","","","","",""
"Advanced","Module 5 · Accessibility and Performance","31","Testing With a Screen Reader","13m","13","4","3.3","","Turning one on | Navigating a page | Common failures | Fixing them","","","","",""
"Advanced","Module 5 · Accessibility and Performance","32","Website Performance","13m","13","4","3.3","","Optimising images | Removing unused CSS | Reducing duplication | Efficient animation","","","","",""
"Advanced","Module 5 · Accessibility and Performance","33","Fonts, Images and Layout Shift","12m","12","4","3.0","","font-display | Preloading | Explicit dimensions | Reserving space","","","","",""
"Advanced","Module 5 · Accessibility and Performance","34","Print Styles","8m","8","4","2.0","","Print media queries | Hiding elements | Page breaks | Printable reports","","","","",""
"Advanced","Module 6 · Professional Frontend Workflow","35","Converting a Design Into HTML and CSS","14m","14","4","3.5","","Analysing a design | Building a component inventory | Spacing systems | Typography","","","","",""
"Advanced","Module 6 · Professional Frontend Workflow","36","Pixel-Accurate Development","13m","13","4","3.3","","Measuring layouts | Consistent spacing | Fluid dimensions | Avoiding fragile positioning","","","","",""
"Advanced","Module 6 · Professional Frontend Workflow","37","Professional Code Review","14m","14","4","3.5","","Semantic review | Accessibility review | CSS review | Responsive review","","","","",""
"Advanced","Module 6 · Professional Frontend Workflow","38","Reviewing Your Own Work","10m","10","3","3.3","","A review checklist | The order to check things in | What people usually miss","","","","",""
"Advanced","Module 6 · Professional Frontend Workflow","39","HTML and CSS Interview Questions","13m","13","3","4.3","","Common questions | Debugging questions | Explaining your decisions","","","","",""
"Advanced","Module 6 · Professional Frontend Workflow","40","Timed Practical Assignments","8m","8","4","2.0","","The usual format | Strategy | Managing the clock | What reviewers look for","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","41","Requirements and design analysis","18m","18","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","42","Project architecture and file structure","18m","18","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","43","Design system: tokens and foundations","14m","14","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","44","Design system: base components","14m","14","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","45","Accessible navigation markup","16m","16","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","46","Navigation styling and mobile menu","16m","16","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","47","Landing page hero markup","14m","14","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","48","Landing page hero styling","14m","14","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","49","Features and benefits section","16m","16","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","50","Pricing cards","16m","16","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","51","Testimonials section","16m","16","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","52","Accessible FAQ with details and summary","16m","16","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","53","Dashboard shell and sidebar","14m","14","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","54","Dashboard grid layout","14m","14","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","55","Dashboard header and user menu","14m","14","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","56","Statistics cards","14m","14","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","57","Responsive data table markup","14m","14","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","58","Responsive data table styling","14m","14","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","59","Account settings form markup","14m","14","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","60","Account settings form styling","14m","14","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","61","Interaction and hover states","13m","13","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","62","Page and component animation","12m","12","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","63","Responsive testing: landing pages","14m","14","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","64","Responsive testing: dashboard","14m","14","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","65","Accessibility audit: keyboard and focus","13m","13","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","66","Accessibility audit: screen reader and contrast","12m","12","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","67","Performance audit","11m","11","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","68","Print styles for the report page","10m","10","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","69","Deployment","11m","11","0","","","","","","","",""
"Advanced","Guided Project · SaaS Website and Admin Dashboard","70","Presenting the project as a case study","10m","10","0","","","","","","","",""
